,en_text,th_text
154745,"Chicken BBQ pizza, large, site of special sauce.",พิซซ่าบาบีคิวไก่ ขนาดใหญ่ ใส่ซอสพิเศษ
105381,Perfect! Thank you,ดีเลยค่ะ! ขอบคุณค่ะ
80824,"no, could you look up nice quiet restaurants in orlando",ไม่มี หาร้านในออร์แลนโด้ที่เงียบๆ ให้หน่อยได้ไหม
106719,What will be the reason for bringing in the car?,สาเหตุที่เอารถมาเช็คคืออะไรคะ?
114316,Any other criteria you're looking for?,มีข้อแม้อะไรที่คุณกำลังหาอยู่ไหมคะ
149037,all tables are booked this afternoon. does 9pm work?,ช่วงบ่ายโต๊ะถูกจองเต็มหมดเลย สามทุ่มได้มั้ยคะ
132464,"Perfect, thank you!",เยี่ยมเลย ขอบคุณมาก
29325,"To confirm, you would like a tall cinnamon dolce latte with soy milk and whipped cream.",คอนเฟิร์มว่า คุณสั่งซินนาม่อนดอลเช่ลาเต้ใส่นมถั่วเหลืองกับวิปครีม
76080,"Thank you. And is that Soule restaurant at 931 W Chicago Ave, Chicago, IL 60622?",ขอบคุณค่ะ และเป็นร้านอาหารโซลที่ 931 ถนนชิคาโก้ตะวันตก ชิคาโก้ อิลลินอยส์ 60622 หรือเปล่าคะ
25066,"I'm sorry, but it seems that there is already a previous appointment booked for that time.",ขอโทษด้วยค่ะ แต่เหมือนว่าจะมีนัดเวลานี้อยู่ก่อนแล้วค่ะ
216377,would you like to book for tonight?,อยากจองคืนนี้ไหมคะ
201127,it doesn't look like pete's does frappachino's would you like to order from starbucks instead?,เหมือนว่าที่พิทจะไม่มีเฟรปปูชิโน่ที่อยากสั่งนะคะ รับเป็นจากสตร์าบัคแทนมั้ยคะ
161229,and what is the dropoff address?,แล้วให้ไปส่งที่ไหนคะ
118148,"ok, let me place your order for pickup.",โอเค งั้นสั่งเป็นแบบรับกลับนะคะ
65449,That sounds interesting. Are there any reservations available for April 5th?,ฟังดูดีเลยครับ จองวันที่ 5 เมษามั้ยครับ
66993,2005 Ford Focus,ฟอร์ดโฟกัส 2005
89035,It;s available for pickup at the Peet's on Blossom Hill road in San Jose.,ไปเอาได้ที่พีทส์ บลอสซั่มฮิลล์ แซนโฮเซ
95224,"Very good. I have a 5p mid patio, west facing table for 6 available as well as a similar positioned indoor window seating option based on weather.",ดีเลยค่ะ เรามีโต๊ะว่างเวลา 5 โมงเย็น ที่กลางลาน หันหน้าไปทางทิศตะวันตก ที่นั่งสำหรับ 6 ท่าน เช่นเดียวกันกับโต๊ะริมหน้าต่างด้านในร้าน ตัวเลือกจะขึ้นอยู่กับสภาพอากาศค่ะ
111943,i have booked an uberxl to pick you up from the philadelphia international airport going to talula's garden. your ride will be arriving in 7 minutes. your receipt will be texted to you. can i help with anything else?,เรียกอูเบอร์เอ็กซ์แอลให้ไปรับที่สนามบินนานาชาติ ฟิลาเดลเฟีย ไปที่ร้านทาลูน่า การ์เดน แล้วนะคะ รถจะมาถึงใน 7 นาทีค่ะ ใบเสร็จจะส่งไปทางข้อความนะคะ ให้ช่วยอะไรอีกมั้ยคะ
174314,"great, the price will be the same, $40. I can charge the card on file now.",ดีค่ะ ราคาเท่าเดิม 40 ดอลล่าร์ค่ะ ตัดบัตรในไฟล์เลยนะคะ
163015,is that alright?,สะดวกไหมคะ
160094,ok. have a good day.,โอเค ขอให้มีวันที่ดีค่ะ
188343,intelligent auto imports.,อินเทลลิเจนท์ ออโต้ อิมพอร์ท
61762,phew! I'm so glad! I was nervous I wouldn't be able to enjoy a tiramisu with my husband tonight.,ค่อยยังชั่ว ฉันดีใจจัง ตอนแรกฉันก็กังวลว่าจะไม่ได้ทานทิรามิสุกับสามีคืนนี้แล้ว
26713,I don’t need a fancy car but if that’s what’s close okay,จริง ๆ ไม่ได้อยากได้รถหรูนะ แต่ถ้าคันนั้นอยู่ใกล้ก็เอาเลย
80709,"AI have pizza delivered to 100 Main St. Fresno, Ca 99999",เอไอ ให้พิซซ่าส่งมาที่บ้านเลขที่ 100 ถนนเมนสตรีท เฟรสโน แคลิฟอร์เนีย 99999 นะ
205427,it's called Jack's Urban Eats.,ร้านแจ็คเออร์บันอีทส์ค่ะ
61851,"2% Milk, please.",นมพร่องมันเนยค่ะ
222427,Great anything else?,ดีค่ะ ไม่ทราบว่ามีอะไรเพิ่มเติมไหมคะ
106570,"Uh, I'll go ahead and let you choose since i'm sharing.",เอ่อ งั้นให้คุณเลือกเลยค่ะเพราะเรากินด้วยกัน
121875,"That's correct, and the phone number under my account is 555-357-2929.",ถูกต้องจ้ะ และเบอร์ในบัญชีคือ 555-357-2929 จ้ะ
112167,"That is good to hear, thank you.",ดีที่ได้รู้ครับ ขอบคุณครับ
12932,"Yes, just one large with the thin crust.",ค่ะ เอาถาดใหญ่แป้งบางกรอบ
212391,"How about tonight, about 7:00?",วันนี้ 19:00 น. ได้มั้ยคะ
128654,"Yes, I have set a reminder 10 minutes before your reservation.",ได้ค่ะฉันจะเตือนก่อนถึงเวลา 10 นาทีค่ะ
144997,Minimum four stars.,อย่างต่ำสี่ดาว
75926,"Sure, what toppings do you want on it?",ได้ค่ะ หน้าอะไรดีคะ
221012,"ok, let me book that for you, one moment",งั้นเดี๋ยวจองให้สักครู่นะคะ
133928,Do you want to go with the cheapest Uber option for this trip?,อยากใช้บริการอูเบอร์แบบถูกที่สุดไหมคะ รอบนี้
161140,"i meant in terms of bar, wheelchair accessible, etc.",ฉันหมายถึงแบบบาร์ มีเส้นทางสำหรับวีลแชร์ ประมาณนี้ค่ะ
214499,Looking for one that's highly reviewed that is not a chain restaurant and,เอาร้านอาหารที่มีรีวิวดีๆ ไม่เอาร้านเชน และ
211487,and Highland has two showings at 7 and 10.,ที่ไฮแลนด์มีสองรอบเวลา 1 ทุ่ม กับ 4 ทุ่มค่ะ
110824,"Okay, that sounds good.",ครับ ฟังดูดีเลย
198139,All right. Thank you. How long is the trip going to take?,โอเคค่ะ ขอบคุณค่ะ เดินทางนานแค่ไหนคะ?
43556,"No, I want to try Intelligent Auto Solutions. It's on 4th",ไม่ต้องหรอกครับ อยากลองของอินเทลลืเจนท์ออโต้โซลูชั่นดูครับ อยู่ตรงถนนสาย 4 น่ะครับ
165121,If there's anything for later today at 3:00 p.m.,มีรอบที่หลังบ่าย3วันนี้มั้ย?
142386,OK. We will see you in about 20 minutes.,โอเค เจอกันใน20นาทีนะคะ
134725,are you near amc west shore 14?,อยู่ใกล้เอเอ็มซีเวสต์ชอร์ 14 ใช่มั้ยคะ
56969,Would you like to order a different size?,อยากสั่งขนาดอื่นมั้ยคะ
120431,Yeah. I'd like to know who directed the movie?,ครับ อยากทราบว่าเรื่องนี้ใครเป็นผู้กำกับเหรอครับ
218199,"A large, there's going to be three large.",ถาดใหญ่ ถาดใหญ่สามถาดค่ะ
55431,Do they have a dress code?,ทางร้านมีเดรสโค้ดมั้ยคะ?
11219,I'd like to drop off and pick up if they have a shuttle service. Can you find out if they do?,อยากจะทิ้งรถไว้ถ้ามีบริการรับส่ง ดูให้หน่อยได้มั้ยว่ามีมั้ย
200399,you're welcome. Your tickets will be sent to you via text message.,ยินดีค่ะ ตั๋วของคุณจะส่งไปให้ทางข้อความนะคะ
108551,Will do. You should get the message.,ได้ค่ะ เดี๋ยวน่าจะมีข้อความส่งไปค่ะ
159755,Sure! What kind of cuisine do you need?,ได้แน่นอนค่ะ อยากทานอาหารแบบไหนคะ
61070,"Good news, Mr. Sicilia. There's a table open for 8:30 PM. Shall I place the reservation now?",ข่าวดี คุณซิซิเลีย มีโต๊ะว่างตอน 2 ทุ่มครึ่ง จองเลยมั้ยคะ
50799,Anything but Uber Pool. I don't want to share a ride with anyone.,อะไรก็ได้ที่ไม่ใช่อูเบอร์พูลค่ะ ไม่อยากเดินทางร่วมกับคนอื่น
110467,let me check that for you.,เดี๋ยวดูให้นะคะ
79493,Ok. What kind of food are you looking for tonight?,โอเคค่ะ กำลังหาร้านอาหารประเภทไหนสำหรับคืนนี้อยู่คะ
8574,How do you want to get there Uber or Lyft?,อยากได้รถแบบไหนดีคะ? อูเบอร์หรือลีฟต์?
96102,"Sure, where at?",ได้ค่ะ ที่ไหนคะ?
61121,Okay sounds good do you want two for your family?,โอเค ฟังดูดี เอาสองลิตรให้ครอบครัวหรอคะ
195608,let me get your total.,จะจอวตั๋วทั้งหมดให้นะคะ
159171,"What city are you in? Snellville, Georgia.",คุณอยู่ที่เมืองไหนคะ? สเนลวิลล์ จอร์เจียค่ะ
111740,"you're welcome, enjoy!",ยินดีค่ะ ดูให้สนุกนะคะ
69964,I can suggest some thrillers to you?,ให้แนะนำหนังทริลเลอร์มั้ยคะ?
43298,yeah ! shall we book for you,ได้ค่ะ จองให้คุณลูกค้าเลยมั้ยคะ
167445,what toppings do you want?,ต้องการหน้าอะไรคะ
58603,Okay. And this is at Harkins?,โอเคค่ะ ที่ฮาร์กินส์ใช่มั้ยคะ
133370,"I want a restaurant that's clean, that has good service, that offers something unique, that has a good price, it's mid-range, one that has good reviews and high-quality food.",อยากได้ร้านที่สะอาด บริการดี เสิร์ฟอาหารที่เป็นเอกลักษณ์ ราคาไม่แพงเกินไป รีวิวดี แล้วก็คุณภาพอาหารดี ๆ นะ
23009,"Yes, at 6 pm.",จ้ะ ตอน 6 โมงเย็น
197153,I want four.,สี่ถาดค่ะ
189829,My name is Sam. That's spelled s a m.,ผมชื่อแซม สะกดว่า แ ซ ม
52661,Kay. What do you want?,โอเคค่ะ รับอะไรคะ
1803,I would like to order the Starbucks Blonde Vanilla Latte.,ขอเป็นสตาร์บัคส์ บลอนด์ วานิลลา ลาเต้ ค่ะ
120558,Just one.,ใบเดียวครับ
142229,"Okay, Is this for routine maintenance, or?",โอเคค่ะ อันนี้เช็คตามระยะหรือเปล่าคะ
34087,No. Really want those back seats so let's grab them now.,ไม่ล่ะฉันอยากได้ที่นั่งข้างหลังจริงๆก็รีบจองไปเลยแล้วกันค่ะ
31663,I'll send you an e-mail with the dinner reservation confirmation.,เดี๋ยวจะส่งเมลรายละเอียดการจองโต๊ะไปให้นะคะ
144126,"No thanks, I have all of that here",ไม่ล่ะ ขอบใจ ตรงนี้มีอยู่แล้ว
82457,"Guy Fieri's is close by, and appears to have availability.",มีร้าน กาย ไฟรีที่อยู่ใกล้ ๆ แล้วก็มีโต๊ะว่างด้วยค่ะ
109954,"Yes, anchovies it is.",ได้ค่ะ เป็นแอนโชวีนะคะ
135855,Soon as possible.,เร็วที่สุดค่ะ
35865,How about 2 tickets to Marcus theater 7pm in Phoenix?,งั้นตั๋วสองใบเรื่องมาร์คัสที่ฟีนิกซ์ตอนรอบหนึ่งทุ่มล่ะ
62553,I want the front row RPX seats!,ฉันอยากได้ที่นั่งอาร์พีเอ็กซ์แถวหน้าค่ะ
101813,That's fantastic! Thank you for your help!,เยี่ยมไปเลยค่ะ ขอบคุณที่ช่วยนะคะ
152573,Perfect. Thank you so much for your help.,ดีเลยค่ะ ขอบคุณที่ช่วยค่ะ
160497,Okay. Cool. Thank you. You reserve my tickets?,โอเค ดีค่ะ ขอบคุณ คุณจองตั๋วรึยังคะ
183114,"ok, what location would you like to pick up from?",โอเคค่ะ รับที่สาขาไหนดีคะ
172418,"No, that's about it. Thank you very much for your help. I really appreciate it.",ไม่ค่ะ แค่นี้แหละ ขอบคุณมากสำหรับความช่วยเหลือ ฉันยินดีมากเลยค่ะ
213685,And you're all set.,ถ้าอย่างนั้นก็เรียบร้อยแล้วค่ะ
107085,"That is correct. Well let me see, there is an opening the meets your requirements at 7:30 p.m. That seems to me the soonest available.",ถูกต้องค่ะ เช็คสักครู่ค่ะ มีโตีะว่างใกล้กับที่คุณต้องการตอน 1 ทุ่มครึ่งค่ะ ดูเหมือนจะเร็วที่สุดแล้วค่ะ
111707,That's everything.,ครบถ้วนแล้วค่ะ
119412,"Yes, what could be the total price?",ค่ะ ราคาทั้งหมดจะเท่าไหร่คะ
67051,I am interested in Jongro BBQ on 32nd street and 99 Favor Taste on Grand Avenue.,ฉันสนใจร้านจงโรบาร์บีคิวที่ถนนที่ 32 และร้าน 99 เฟเวอร์เทสที่ถนนแกรนด์
1889,You're welcome. Have a wonderful day.,ด้วยความยินดีค่ะ ขอให้มีวันที่ดีนะคะ
156941,"got it, let me look into that for you?",ได้ค่ะ เดี๋ยวเช็คให้นะคะ
83604,I will. Good bye.,ได้ค่ะ ลาก่อนค่ะ
40034,There is an Uber Assist with an estimated fare of $6.80,มีอูเบอร์แอสสิทที่ราคาประมาณ 6.80 ดอลล่าร์ค่ะ
89005,"There are 3 theaters near you, do you have preference?",มีใกล้เคียง3โรงค่ะ อยากไปโรงไหนคะ
39236,I will book that now.,จองให้เดี๋ยวนี้ค่ะ
109089,"Ok, Pesto. What size did you want?",โอเคค่ะ เพสโตนะคะ อยากได้ไซส์ไหนคะ
50643,It depends on how much each person eats. They sell it by the slice.,ขึ้นอยู่กับปริมาณที่แต่ละคนกินค่ะ ที่ร้านขายเป็นชิ้น
44531,Should that be Lux or XL?,เป็นลักซ์หรือเอ็กซ์แอลดีคะ
110829,"You, too. Bye-bye.",เช่นกันค่ะ บายนะคะ
148502,"ok, i have booked your appointment for 8:30am, next monday at intelligent auto imports, do you know where the shop is located?",โอเคค่ะ จองให้แล้วนะคะสำหรับ 8.30 น. วันจันทร์หน้าที่อินเทลลิเจนท์ออโต้อิมพอร์ตส์ รู้ไหมคะว่าร้านอยู่ไหน
33890,3 passengers.,สามคนจ้ะ
200768,an Uber.,อูเบอร์ค่ะ
